mca_1,mca_2,dataset_short_name,session_id,subject_id,behavioral_context,recording_profile_group,recommended_analysis_type,duplicate_profile_count,mca_1_plot,mca_2_plot,categorical_cluster
2.5081663548395414,-3.3483015709249733,openfield_ca1,25398_2019-07-02,25398,open field / navigation,spike_behavior,spike-behavior analysis,93,2.519560413725187,-3.3175054936365043,0
2.5081663548395414,-3.3483015709249733,openfield_ca1,25398_2019-07-03,25398,open field / navigation,spike_behavior,spike-behavior analysis,93,2.5634051831649627,-3.3608326027376205,0
2.5081663548395414,-3.3483015709249733,openfield_ca1,25398_2019-07-04,25398,open field / navigation,spike_behavior,spike-behavior analysis,93,2.4739861431326187,-3.351562573015808,0
2.5081663548395414,-3.3483015709249733,openfield_ca1,25398_2019-07-30,25398,open field / navigation,spike_behavior,spike-behavior analysis,93,2.5208495301256786,-3.4006845865593247,0
2.5081663548395414,-3.3483015709249733,openfield_ca1,25398_2019-07-31,25398,open field / navigation,spike_behavior,spike-behavior analysis,93,2.558213586356928,-3.312615794806407,0
2.5081663548395414,-3.3483015709249733,openfield_ca1,25398_2019-08-01,25398,open field / navigation,spike_behavior,spike-behavior analysis,93,2.4834186316619222,-3.384700249352236,0
2.5081663548395414,-3.3483015709249733,openfield_ca1,25398_2019-08-02,25398,open field / navigation,spike_behavior,spike-behavior analysis,93,2.5447083738441343,-3.446350032026353,0
2.5081663548395414,-3.3483015709249733,openfield_ca1,25398_2019-08-07,25398,open field / navigation,spike_behavior,spike-behavior analysis,93,2.4552122795542095,-3.450536576870543,0
2.5081663548395414,-3.3483015709249733,openfield_ca1,25398_2019-08-08,25398,open field / navigation,spike_behavior,spike-behavior analysis,93,2.479122047114336,-3.334494537507204,0
2.5081663548395414,-3.3483015709249733,openfield_ca1,25398_2019-08-09,25398,open field / navigation,spike_behavior,spike-behavior analysis,93,2.477627323319675,-3.2219742704121384,0
2.5081663548395414,-3.3483015709249733,openfield_ca1,25398_2019-08-13,25398,open field / navigation,spike_behavior,spike-behavior analysis,93,2.412499183192418,-3.335502241839098,0
2.5081663548395414,-3.3483015709249733,openfield_ca1,25398_2019-08-14,25398,open field / navigation,spike_behavior,spike-behavior analysis,93,2.547124153302388,-3.357792637013764,0
2.5081663548395414,-3.3483015709249733,openfield_ca1,25398_2019-08-15,25398,open field / navigation,spike_behavior,spike-behavior analysis,93,2.4706141676233235,-3.32543547975677,0
2.5081663548395414,-3.3483015709249733,openfield_ca1,25398_2019-09-03,25398,open field / navigation,spike_behavior,spike-behavior analysis,93,2.5091658843377562,-3.2438214315884273,0
2.5081663548395414,-3.3483015709249733,openfield_ca1,25398_2019-09-04,25398,open field / navigation,spike_behavior,spike-behavior analysis,93,2.5466260875520144,-3.3307509708158647,0
2.5081663548395414,-3.3483015709249733,openfield_ca1,25398_2019-09-16,25398,open field / navigation,spike_behavior,spike-behavior analysis,93,2.543888848921937,-3.381175749391672,0
2.5081663548395414,-3.3483015709249733,openfield_ca1,25398_2019-09-17,25398,open field / navigation,spike_behavior,spike-behavior analysis,93,2.5613971635573645,-3.259798474120182,0
2.5081663548395414,-3.3483015709249733,openfield_ca1,25398_2019-09-18,25398,open field / navigation,spike_behavior,spike-behavior analysis,93,2.5002875160787874,-3.314001055848044,0
2.5081663548395414,-3.3483015709249733,openfield_ca1,25398_2019-09-19,25398,open field / navigation,spike_behavior,spike-behavior analysis,93,2.4743024898760093,-3.225441091565294,0
2.5081663548395414,-3.3483015709249733,openfield_ca1,25398_2019-09-20,25398,open field / navigation,spike_behavior,spike-behavior analysis,93,2.5017888979670295,-3.3336428159472207,0
2.5081663548395414,-3.3483015709249733,openfield_ca1,25398_2019-10-07,25398,open field / navigation,spike_behavior,spike-behavior analysis,93,2.373179600122899,-3.446259093462613,0
2.5081663548395414,-3.3483015709249733,openfield_ca1,25398_2019-10-08,25398,open field / navigation,spike_behavior,spike-behavior analysis,93,2.3923973570456942,-3.4577543068646266,0
